street,hero_hand,spr,in_position,num_players,board_texture,action_history
preflop,JdAc,10.0,0,13,empty,R
preflop,8s8d,10.0,0,13,empty,R
preflop,3c3s,10.0,0,13,empty,C
preflop,TsAc,10.0,0,13,empty,R
preflop,5c9c,10.0,0,13,empty,C
preflop,KdTs,10.0,0,13,empty,R
preflop,QhKh,10.0,0,13,empty,R
preflop,AhKd,10.0,0,12,empty,R
preflop,7sJs,10.0,0,12,empty,C
preflop,8s8d,10.0,0,12,empty,R
preflop,JcKs,10.0,0,12,empty,C
preflop,9h9c,10.0,0,12,empty,C
preflop,JsJh,10.0,0,13,empty,R
preflop,KcQh,10.0,0,13,empty,C
preflop,Ad5s,10.0,0,13,empty,R
preflop,TcJh,10.0,0,13,empty,C
preflop,TcJc,10.0,0,12,empty,R
preflop,9h2h,10.0,0,6,empty,R
preflop,9sQh,10.0,0,9,empty,C
preflop,QsQc,10.0,0,13,empty,R
preflop,AsQd,10.0,0,13,empty,R
preflop,TsTd,10.0,0,13,empty,R
preflop,Kh9h,10.0,0,13,empty,R
preflop,5c6c,10.0,0,12,empty,R
preflop,3c3h,10.0,0,13,empty,R
preflop,2d7d,10.0,0,13,empty,C
preflop,Ah2h,10.0,0,13,empty,R
preflop,3h3s,10.0,0,13,empty,R
preflop,KsAs,10.0,0,13,empty,R
preflop,As9c,10.0,0,13,empty,C
preflop,Js6s,10.0,0,13,empty,C
preflop,6cQc,10.0,0,13,empty,C
preflop,AcJc,10.0,0,13,empty,R
preflop,AhAs,10.0,0,13,empty,R
preflop,2c2h,10.0,0,13,empty,C
preflop,3c3s,10.0,0,11,empty,C
preflop,Ad6d,10.0,0,12,empty,R
preflop,5d2d,10.0,0,9,empty,C
preflop,QsQc,10.0,0,12,empty,R
preflop,7s7d,10.0,0,12,empty,R
preflop,9sKd,10.0,0,13,empty,C
preflop,2h2c,10.0,0,13,empty,C
preflop,9hTh,10.0,0,12,empty,C
preflop,7h7c,10.0,0,11,empty,R
preflop,KhQd,10.0,0,10,empty,R
preflop,JsKd,10.0,0,12,empty,C
preflop,JdAs,10.0,0,13,empty,C
preflop,2s2d,10.0,0,13,empty,C
preflop,KcAs,10.0,0,13,empty,R
preflop,TdQh,10.0,0,13,empty,C
preflop,QsAh,10.0,0,12,empty,R
preflop,6h4h,10.0,0,12,empty,C
preflop,5s9s,10.0,0,12,empty,C
preflop,Ah2s,10.0,0,13,empty,C
preflop,Ah2h,10.0,0,13,empty,C
preflop,Ad4s,10.0,0,13,empty,C
preflop,8hKc,10.0,0,11,empty,C
preflop,Ah4h,10.0,0,12,empty,R
preflop,5sAd,10.0,0,12,empty,R
preflop,JcJs,10.0,0,12,empty,R
preflop,Ah6c,10.0,0,12,empty,R
preflop,9h9s,10.0,0,13,empty,R
preflop,ThKd,10.0,0,13,empty,C
preflop,4hAh,10.0,0,13,empty,C
preflop,9dAd,10.0,0,13,empty,C
preflop,AdJs,10.0,0,13,empty,C
preflop,KsKh,10.0,0,13,empty,R
preflop,2s2d,10.0,0,12,empty,C
preflop,Jc3h,10.0,0,11,empty,C
preflop,2dKd,10.0,0,13,empty,C
preflop,7d7h,10.0,0,13,empty,R
preflop,JsJh,10.0,0,11,empty,R
preflop,Ts9c,10.0,0,9,empty,C
preflop,7sAs,10.0,0,11,empty,C
preflop,QhKd,10.0,0,13,empty,C
preflop,QcJc,10.0,0,13,empty,C
preflop,9hJc,10.0,0,13,empty,R
preflop,KdKs,10.0,0,12,empty,R
preflop,TsQs,10.0,0,12,empty,R
preflop,JhTh,10.0,0,12,empty,C
preflop,QdQh,10.0,0,13,empty,R
preflop,Kd6d,10.0,0,12,empty,C
preflop,7d7c,10.0,0,13,empty,R
preflop,8c3h,10.0,0,13,empty,C
preflop,Td7d,10.0,0,13,empty,C
preflop,5s6c,10.0,0,13,empty,C
preflop,AcQh,10.0,0,12,empty,R
preflop,8dKs,10.0,0,13,empty,C
preflop,9dTd,10.0,0,13,empty,C
preflop,TcTh,10.0,0,11,empty,C
preflop,AhJc,10.0,0,13,empty,R
preflop,8d6d,10.0,0,13,empty,C
preflop,6hKh,10.0,0,12,empty,R
preflop,KcKs,10.0,0,13,empty,R
preflop,6c6h,10.0,0,13,empty,R
preflop,KcTd,10.0,0,13,empty,R
preflop,QsJh,10.0,0,13,empty,R
preflop,AsKh,10.0,0,13,empty,C
preflop,KdJh,10.0,0,13,empty,R
preflop,As2h,10.0,0,13,empty,C
preflop,7c5c,10.0,0,13,empty,R
preflop,Ad3c,10.0,0,11,empty,R
preflop,7h7c,10.0,0,10,empty,C
preflop,9hTc,10.0,0,12,empty,C
preflop,QcJh,10.0,0,12,empty,C
preflop,9dAc,10.0,0,12,empty,R
preflop,KdAh,10.0,0,13,empty,C
preflop,4c5c,10.0,0,11,empty,R
preflop,5s5d,10.0,0,13,empty,C
preflop,Ac9d,10.0,0,12,empty,C
preflop,ThTd,10.0,0,13,empty,R
preflop,7dKd,10.0,0,13,empty,C
preflop,Ac8s,10.0,0,13,empty,C
preflop,4cKh,10.0,0,13,empty,C
preflop,As9s,10.0,0,13,empty,C
preflop,KsAs,10.0,0,13,empty,R
preflop,ThQc,10.0,0,13,empty,C
preflop,QhKd,10.0,0,13,empty,C
preflop,8d5d,10.0,0,12,empty,C
preflop,JcQc,10.0,0,10,empty,R
preflop,TsKs,10.0,0,13,empty,C
preflop,AsJs,10.0,0,13,empty,R
preflop,6h8h,10.0,0,13,empty,C
preflop,7dTh,10.0,0,11,empty,R
preflop,9s3s,10.0,0,12,empty,C
preflop,TsJh,10.0,0,13,empty,C
preflop,AsJc,10.0,0,13,empty,C
preflop,8dTs,10.0,0,13,empty,C
preflop,6cAc,10.0,0,13,empty,R
preflop,QhAs,10.0,0,13,empty,R
preflop,KcQd,10.0,0,13,empty,R
preflop,Js2s,10.0,0,13,empty,C
preflop,AhJd,10.0,0,13,empty,R
preflop,4cAd,10.0,0,5,empty,R
preflop,3dTd,10.0,0,7,empty,C
preflop,Ad9h,10.0,0,11,empty,C
preflop,9cKd,10.0,0,11,empty,C
preflop,KsKh,10.0,0,13,empty,R
preflop,KhTh,10.0,0,13,empty,R
preflop,KsJs,10.0,0,13,empty,R
preflop,KhTh,10.0,0,12,empty,C
preflop,9hKh,10.0,0,13,empty,R
preflop,9sQh,10.0,0,13,empty,R
preflop,6c2c,10.0,0,13,empty,C
preflop,Kd9d,10.0,0,13,empty,C
preflop,8cQc,10.0,0,12,empty,C
preflop,9cAs,10.0,0,13,empty,C
preflop,3hJh,10.0,0,13,empty,C
preflop,JhKh,10.0,0,13,empty,R
preflop,AdJs,10.0,0,13,empty,R
preflop,9cQc,10.0,0,13,empty,R
preflop,Js2h,10.0,0,9,empty,C
preflop,Jd9d,10.0,0,9,empty,R
preflop,7s5d,10.0,0,9,empty,C
preflop,QhTd,10.0,0,11,empty,R
preflop,Ac3d,10.0,0,13,empty,C
preflop,JsKh,10.0,0,13,empty,C
preflop,2hAd,10.0,0,13,empty,C
preflop,As9s,10.0,0,11,empty,C
preflop,QhQd,10.0,0,11,empty,C
preflop,5hJd,10.0,0,13,empty,C
preflop,QsKc,10.0,0,13,empty,C
preflop,9s9d,10.0,0,13,empty,C
preflop,5s5c,10.0,0,13,empty,R
preflop,KsAd,10.0,0,13,empty,C
preflop,KcKd,10.0,0,13,empty,R
preflop,3hKd,10.0,0,11,empty,C
preflop,3h2h,10.0,0,13,empty,C
preflop,3dAh,10.0,0,13,empty,C
preflop,8hAs,10.0,0,13,empty,C
preflop,Ks6s,10.0,0,13,empty,C
