street,hero_hand,spr,in_position,num_players,board_texture,action_history
flop,Js8c,10.0,0,12,two-tone,C
flop,JdTh,10.0,0,13,two-tone,R
flop,ThAc,10.0,0,12,two-tone,C
flop,TsQs,10.0,0,12,rainbow,C
flop,Kc3s,10.0,0,13,two-tone,C
flop,QsQh,10.0,0,13,two-tone,
flop,AhTh,10.0,0,13,two-tone,C
flop,Ac8c,10.0,0,13,rainbow,C
flop,2d9h,10.0,0,13,two-tone,
flop,JdTd,10.0,0,13,two-tone,C
flop,AhQc,10.0,0,13,two-tone,C
flop,3dTs,10.0,0,11,two-tone,
flop,3s4d,10.0,0,13,rainbow,C
flop,KdQc,10.0,0,13,two-tone,C
flop,9hKd,10.0,0,13,rainbow,
flop,6d4d,10.0,0,13,rainbow,C
flop,KdAd,10.0,0,13,rainbow,C
flop,9c9d,10.0,0,13,two-tone,
flop,7hKs,10.0,0,12,rainbow,
flop,KsJc,10.0,0,13,rainbow,C
flop,8dAd,10.0,0,13,two-tone,C
flop,9hAh,10.0,0,13,two-tone,C
flop,QsQc,10.0,0,11,rainbow,
flop,JdAc,10.0,0,13,two-tone,C
flop,8s8d,10.0,0,13,two-tone,C
flop,3c3s,10.0,0,13,two-tone,C
flop,TsAc,10.0,0,13,rainbow,C
flop,5c9c,10.0,0,13,two-tone,C
flop,KdTs,10.0,0,13,two-tone,R
flop,QhKh,10.0,0,13,two-tone,C
flop,AhKd,10.0,0,12,two-tone,C
flop,7sJs,10.0,0,12,two-tone,C
flop,8s8d,10.0,0,12,rainbow,C
flop,JcKs,10.0,0,12,two-tone,C
flop,9h9c,10.0,0,12,two-tone,C
flop,JsJh,10.0,0,13,two-tone,C
flop,KcQh,10.0,0,13,two-tone,C
flop,Ad5s,10.0,0,13,rainbow,C
flop,TcJh,10.0,0,13,two-tone,C
flop,7s6h,10.0,0,13,rainbow,
flop,TcJc,10.0,0,12,two-tone,C
flop,9h2h,10.0,0,6,two-tone,
flop,9dJd,10.0,0,7,rainbow,
flop,9sQh,10.0,0,9,two-tone,C
flop,QsQc,10.0,0,13,two-tone,R
